SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
29178,3304,1,20,2,3,NA,NA,2703,0,4,0,0,0,0,0,0,0,1,0
29222,1759,1,55,23,4,NA,NA,1170,0,5,0,0,0,0,1,0,0,0,0
29252,2514,1,70,17,1,NA,NA,1716,1,6,0,0,0,0,0,0,0,0,1
29269,1745,1,30,19,6,NA,NA,1848,0,3,0,1,0,0,0,0,0,0,0
29279,11615,1,33,22,2,NA,NA,3438,0,6,0,0,0,0,0,0,0,0,1
29359,587,1,22,13,1,NA,NA,2491,1,9,1,0,0,0,0,0,0,0,0
29370,10987,1,33,25,1,NA,NA,1960,1,4,0,0,0,0,0,0,0,1,0
29394,9966,1,70,16,4,NA,NA,1183,0,5,0,0,0,0,1,0,0,0,0
29449,7404,1,52,29,5,NA,NA,1446,0,7,0,0,0,0,0,1,0,0,0
29533,764,1,22,27,5,NA,NA,1766,0,3,0,1,0,0,0,0,0,0,0
29541,7093,1,26,7,1,NA,NA,2029,1,4,0,0,0,0,0,0,0,1,0
29610,9380,1,26,29,5,NA,NA,1458,0,7,0,0,0,0,0,1,0,0,0
29639,6954,1,36,8,2,NA,NA,1708,0,4,0,0,0,0,0,0,0,1,0
29662,2952,1,24,23,7,NA,NA,2660,1,7,0,0,0,0,0,1,0,0,0
29690,4123,1,41,21,4,NA,NA,1824,0,9,1,0,0,0,0,0,0,0,0
29754,349,1,65,7,2,NA,NA,1502,0,7,0,0,0,0,0,1,0,0,0
29773,10599,1,19,25,6,NA,NA,1725,0,6,0,0,0,0,0,0,0,0,1
29791,4415,1,35,1,3,NA,NA,1601,0,3,0,1,0,0,0,0,0,0,0
29954,7455,1,78,9,2,NA,NA,1857,0,2,0,0,0,0,0,0,1,0,0
29976,7707,1,44,27,7,NA,NA,3523,1,7,0,0,0,0,0,1,0,0,0
29986,2467,1,30,22,5,NA,NA,2673,0,2,0,0,0,0,0,0,1,0,0
30000,10599,1,40,25,6,NA,NA,1350,0,6,0,0,0,0,0,0,0,0,1
30026,10599,1,22,25,6,NA,NA,2239,0,6,0,0,0,0,0,0,0,0,1
30036,7850,1,23,1,3,NA,NA,780,0,1,0,0,1,0,0,0,0,0,0
30059,5470,1,20,14,2,NA,NA,1664,0,6,0,0,0,0,0,0,0,0,1
30076,10969,1,35,6,7,NA,NA,2405,1,4,0,0,0,0,0,0,0,1,0
30104,1632,1,55,11,4,NA,NA,1977,0,2,0,0,0,0,0,0,1,0,0
30105,4572,1,65,11,6,NA,NA,2250,0,3,0,1,0,0,0,0,0,0,0
30122,7721,1,80,23,4,NA,NA,823,0,6,0,0,0,0,0,0,0,0,1
30123,4938,1,85,22,3,NA,NA,691,0,5,0,0,0,0,1,0,0,0,0
30132,2239,1,35,21,5,NA,NA,3522,0,9,1,0,0,0,0,0,0,0,0
30158,9496,1,55,20,7,NA,NA,2409,1,3,0,1,0,0,0,0,0,0,0
30187,9904,1,45,5,2,NA,NA,2245,0,9,1,0,0,0,0,0,0,0,0
30200,8234,1,25,23,4,NA,NA,2180,0,5,0,0,0,0,1,0,0,0,0
30284,1775,1,60,5,2,NA,NA,1341,0,9,1,0,0,0,0,0,0,0,0
30289,1147,1,58,27,2,NA,NA,1913,0,1,0,0,1,0,0,0,0,0,0
30330,6348,1,55,19,3,NA,NA,1708,0,9,1,0,0,0,0,0,0,0,0
30350,8558,1,32,15,5,NA,NA,1513,0,9,1,0,0,0,0,0,0,0,0
30356,4027,1,30,16,4,NA,NA,2276,0,5,0,0,0,0,1,0,0,0,0
30368,2600,1,45,24,2,NA,NA,1608,0,2,0,0,0,0,0,0,1,0,0
30410,7444,1,32,11,4,NA,NA,2619,0,8,0,0,0,1,0,0,0,0,0
30439,1748,1,52,21,5,NA,NA,1682,0,9,1,0,0,0,0,0,0,0,0
30520,3741,1,22,23,7,NA,NA,2720,1,7,0,0,0,0,0,1,0,0,0
30527,2699,1,36,12,7,NA,NA,2012,1,9,1,0,0,0,0,0,0,0,0
30553,8619,1,20,3,5,NA,NA,1277,0,1,0,0,1,0,0,0,0,0,0
30671,9069,1,42,25,1,NA,NA,1855,1,4,0,0,0,0,0,0,0,1,0
30677,10531,1,38,7,4,NA,NA,2265,0,9,1,0,0,0,0,0,0,0,0
30764,5192,1,26,20,2,NA,NA,2192,0,8,0,0,0,1,0,0,0,0,0
30820,2703,1,30,16,6,NA,NA,1904,0,9,1,0,0,0,0,0,0,0,0
30889,7243,1,65,26,4,NA,NA,2603,0,4,0,0,0,0,0,0,0,1,0
30907,9365,1,35,22,6,NA,NA,715,0,7,0,0,0,0,0,1,0,0,0
30912,2920,1,42,24,4,NA,NA,3122,0,3,0,1,0,0,0,0,0,0,0
30966,1434,1,47,12,4,NA,NA,2216,0,8,0,0,0,1,0,0,0,0,0
31006,573,1,25,23,6,NA,NA,2552,0,4,0,0,0,0,0,0,0,1,0
31022,10628,1,32,8,3,NA,NA,3792,0,3,0,1,0,0,0,0,0,0,0
31041,7372,1,21,21,4,NA,NA,2564,0,4,0,0,0,0,0,0,0,1,0
31093,9116,1,68,29,3,NA,NA,1923,0,6,0,0,0,0,0,0,0,0,1
31114,529,1,45,12,4,NA,NA,763,0,8,0,0,0,1,0,0,0,0,0
31173,9292,1,65,17,1,NA,NA,2225,1,6,0,0,0,0,0,0,0,0,1
31201,5344,1,45,6,6,NA,NA,2006,0,8,0,0,0,1,0,0,0,0,0
31203,7852,1,32,27,7,NA,NA,1719,1,7,0,0,0,0,0,1,0,0,0
31239,7218,1,25,8,1,NA,NA,1799,1,8,0,0,0,1,0,0,0,0,0
31249,6885,1,45,6,3,NA,NA,2055,0,1,0,0,1,0,0,0,0,0,0
31254,3274,1,35,21,5,NA,NA,885,0,7,0,0,0,0,0,1,0,0,0
31269,5852,1,33,18,3,NA,NA,2201,0,1,0,0,1,0,0,0,0,0,0
31376,8714,1,18,30,1,NA,NA,2222,1,4,0,0,0,0,0,0,0,1,0
31400,8923,1,45,23,7,NA,NA,2251,1,7,0,0,0,0,0,1,0,0,0
31401,10699,1,60,17,1,NA,NA,1302,1,6,0,0,0,0,0,0,0,0,1
31410,6550,1,58,5,5,NA,NA,2725,0,8,0,0,0,1,0,0,0,0,0
31455,10157,1,30,3,3,NA,NA,1480,0,8,0,0,0,1,0,0,0,0,0
31456,7020,1,48,13,6,NA,NA,1303,0,2,0,0,0,0,0,0,1,0,0
31460,4409,1,36,29,3,NA,NA,783,0,6,0,0,0,0,0,0,0,0,1
31532,6225,1,38,6,6,NA,NA,2804,0,8,0,0,0,1,0,0,0,0,0
31568,2503,1,40,6,6,NA,NA,3635,0,8,0,0,0,1,0,0,0,0,0
31625,10751,1,35,23,7,NA,NA,2918,1,9,1,0,0,0,0,0,0,0,0
31628,1283,1,36,7,2,NA,NA,889,0,7,0,0,0,0,0,1,0,0,0
31735,7583,1,40,21,3,NA,NA,2503,0,8,0,0,0,1,0,0,0,0,0
31754,9303,1,32,13,1,NA,NA,1944,1,2,0,0,0,0,0,0,1,0,0
31818,10340,1,45,23,5,NA,NA,1962,0,1,0,0,1,0,0,0,0,0,0
31823,5350,1,18,20,7,NA,NA,2226,1,6,0,0,0,0,0,0,0,0,1
31880,326,1,70,18,1,NA,NA,985,1,9,1,0,0,0,0,0,0,0,0
31903,4422,1,56,24,2,NA,NA,1233,0,2,0,0,0,0,0,0,1,0,0
31912,5383,1,22,23,5,NA,NA,2707,0,1,0,0,1,0,0,0,0,0,0
31964,8829,1,72,7,4,NA,NA,1764,0,9,1,0,0,0,0,0,0,0,0
31997,2630,1,35,20,3,NA,NA,1985,0,4,0,0,0,0,0,0,0,1,0
31999,1676,1,28,28,2,NA,NA,1702,0,6,0,0,0,0,0,0,0,0,1
32057,573,1,60,23,6,NA,NA,2144,0,4,0,0,0,0,0,0,0,1,0
32203,8260,1,23,30,1,NA,NA,2374,1,4,0,0,0,0,0,0,0,1,0
32259,9701,1,48,9,6,NA,NA,1570,0,9,1,0,0,0,0,0,0,0,0
32291,10617,1,80,15,7,NA,NA,1717,1,8,0,0,0,1,0,0,0,0,0
32332,7340,1,30,24,7,NA,NA,1108,1,4,0,0,0,0,0,0,0,1,0
32398,6067,1,26,27,7,NA,NA,2508,1,7,0,0,0,0,0,1,0,0,0
32408,2357,1,40,8,2,NA,NA,1670,0,4,0,0,0,0,0,0,0,1,0
32412,9837,1,65,8,7,NA,NA,1644,1,8,0,0,0,1,0,0,0,0,0
32419,5022,1,27,18,7,NA,NA,2302,1,8,0,0,0,1,0,0,0,0,0
32428,8350,1,40,6,3,NA,NA,1107,0,4,0,0,0,0,0,0,0,1,0
32484,2290,1,65,11,6,NA,NA,2120,0,3,0,1,0,0,0,0,0,0,0
32543,4432,1,34,27,3,NA,NA,2715,0,7,0,0,0,0,0,1,0,0,0
32592,9311,1,18,25,2,NA,NA,2176,0,7,0,0,0,0,0,1,0,0,0
32666,1713,1,20,8,5,NA,NA,2657,0,1,0,0,1,0,0,0,0,0,0
32686,5465,1,22,16,1,NA,NA,1836,1,8,0,0,0,1,0,0,0,0,0
32728,10640,1,40,13,1,NA,NA,1949,1,2,0,0,0,0,0,0,1,0,0
32772,7339,1,20,21,1,NA,NA,2209,1,3,0,1,0,0,0,0,0,0,0
32814,6382,1,40,25,7,NA,NA,2257,1,1,0,0,1,0,0,0,0,0,0
32833,7308,1,26,6,7,NA,NA,2391,1,4,0,0,0,0,0,0,0,1,0
32867,859,1,55,21,5,NA,NA,2917,0,9,1,0,0,0,0,0,0,0,0
32920,853,1,34,29,5,NA,NA,2090,0,7,0,0,0,0,0,1,0,0,0
32979,775,1,50,28,5,NA,NA,643,0,4,0,0,0,0,0,0,0,1,0
32991,3491,1,39,3,5,NA,NA,1740,0,7,0,0,0,0,0,1,0,0,0
33068,8346,1,22,12,7,NA,NA,1858,1,9,1,0,0,0,0,0,0,0,0
33077,5100,1,67,14,3,NA,NA,1695,0,8,0,0,0,1,0,0,0,0,0
33128,265,1,47,12,4,NA,NA,1506,0,8,0,0,0,1,0,0,0,0,0
33173,8260,1,54,30,1,NA,NA,2788,1,4,0,0,0,0,0,0,0,1,0
33258,8181,1,75,3,5,NA,NA,1481,0,7,0,0,0,0,0,1,0,0,0
33280,1820,1,65,7,7,NA,NA,1542,1,8,0,0,0,1,0,0,0,0,0
33329,8619,1,60,3,5,NA,NA,1478,0,1,0,0,1,0,0,0,0,0,0
33350,10151,1,33,8,5,NA,NA,1226,0,4,0,0,0,0,0,0,0,1,0
33361,2762,1,40,7,2,NA,NA,2116,0,7,0,0,0,0,0,1,0,0,0
33390,5587,1,45,19,4,NA,NA,1017,0,3,0,1,0,0,0,0,0,0,0
33397,9054,1,45,24,7,NA,NA,1830,1,5,0,0,0,0,1,0,0,0,0
33433,4172,1,21,25,7,NA,NA,1882,1,1,0,0,1,0,0,0,0,0,0
33447,2580,1,35,21,4,NA,NA,1711,0,9,1,0,0,0,0,0,0,0,0
33473,2646,1,19,23,6,NA,NA,3451,0,4,0,0,0,0,0,0,0,1,0
33487,189,1,55,12,7,NA,NA,1785,1,6,0,0,0,0,0,0,0,0,1
33561,6176,1,70,25,2,NA,NA,442,0,7,0,0,0,0,0,1,0,0,0
33591,4724,1,20,25,5,NA,NA,1699,0,3,0,1,0,0,0,0,0,0,0
33634,9893,1,40,4,4,NA,NA,2487,0,8,0,0,0,1,0,0,0,0,0
33638,6303,1,60,12,5,NA,NA,1723,0,2,0,0,0,0,0,0,1,0,0
33671,9743,1,21,21,5,NA,NA,2541,0,7,0,0,0,0,0,1,0,0,0
33721,7009,1,50,3,7,NA,NA,776,1,9,1,0,0,0,0,0,0,0,0
33829,10496,1,18,25,7,NA,NA,1690,1,1,0,0,1,0,0,0,0,0,0
33880,1337,1,22,3,3,NA,NA,2431,0,8,0,0,0,1,0,0,0,0,0
33881,4081,1,80,9,2,NA,NA,658,0,8,0,0,0,1,0,0,0,0,0
33910,7494,1,65,8,5,NA,NA,2965,0,1,0,0,1,0,0,0,0,0,0
33940,5185,1,32,5,2,NA,NA,1610,0,9,1,0,0,0,0,0,0,0,0
33942,6020,1,35,20,7,NA,NA,1469,1,6,0,0,0,0,0,0,0,0,1
34000,2221,1,19,18,6,NA,NA,1001,0,5,0,0,0,0,1,0,0,0,0
34039,8248,1,50,30,1,NA,NA,2552,1,4,0,0,0,0,0,0,0,1,0
34085,2446,1,28,1,3,NA,NA,1128,0,3,0,1,0,0,0,0,0,0,0
34127,1321,1,40,6,6,NA,NA,2892,0,8,0,0,0,1,0,0,0,0,0
34137,6492,1,36,23,5,NA,NA,1405,0,1,0,0,1,0,0,0,0,0,0
34140,7137,1,64,21,4,NA,NA,1498,0,9,1,0,0,0,0,0,0,0,0
34230,6193,1,30,8,3,NA,NA,2544,0,9,1,0,0,0,0,0,0,0,0
34238,3174,1,46,14,2,NA,NA,3730,0,2,0,0,0,0,0,0,1,0,0
34274,8774,1,28,19,4,NA,NA,2338,0,3,0,1,0,0,0,0,0,0,0
34298,8299,1,30,20,3,NA,NA,1936,0,4,0,0,0,0,0,0,0,1,0
34318,4172,1,45,25,7,NA,NA,1926,1,1,0,0,1,0,0,0,0,0,0
34357,9751,1,30,8,1,NA,NA,3034,1,5,0,0,0,0,1,0,0,0,0
34402,9687,1,24,19,4,NA,NA,1897,0,1,0,0,1,0,0,0,0,0,0
34421,1481,1,32,4,6,NA,NA,1885,0,3,0,1,0,0,0,0,0,0,0
34446,5019,1,37,4,6,NA,NA,2175,0,3,0,1,0,0,0,0,0,0,0
34507,10235,1,21,13,6,NA,NA,2079,0,2,0,0,0,0,0,0,1,0,0
34533,2410,1,45,16,6,NA,NA,1378,0,9,1,0,0,0,0,0,0,0,0
34562,4514,1,37,6,3,NA,NA,3076,0,4,0,0,0,0,0,0,0,1,0
34566,11101,1,38,29,3,NA,NA,828,0,6,0,0,0,0,0,0,0,0,1
34616,774,1,27,6,3,NA,NA,1371,0,1,0,0,1,0,0,0,0,0,0
34628,3723,1,19,28,3,NA,NA,1144,0,1,0,0,1,0,0,0,0,0,0
34670,6928,1,40,17,2,NA,NA,3950,0,1,0,0,1,0,0,0,0,0,0
34687,2010,1,28,23,7,NA,NA,3965,1,7,0,0,0,0,0,1,0,0,0
34719,3674,1,47,5,5,NA,NA,1303,0,8,0,0,0,1,0,0,0,0,0
34743,2944,1,38,29,2,NA,NA,2760,0,7,0,0,0,0,0,1,0,0,0
34793,5952,1,18,22,4,NA,NA,2641,0,8,0,0,0,1,0,0,0,0,0
34800,5328,1,30,6,6,NA,NA,1911,0,5,0,0,0,0,1,0,0,0,0
34831,11122,1,22,3,7,NA,NA,2190,1,9,1,0,0,0,0,0,0,0,0
34905,3233,1,56,9,6,NA,NA,1768,0,9,1,0,0,0,0,0,0,0,0
34922,1589,1,36,25,7,NA,NA,1232,1,1,0,0,1,0,0,0,0,0,0
34942,11801,1,22,6,4,NA,NA,1260,0,3,0,1,0,0,0,0,0,0,0
34946,1431,1,56,14,4,NA,NA,1854,0,9,1,0,0,0,0,0,0,0,0
34972,4027,1,60,16,4,NA,NA,1692,0,5,0,0,0,0,1,0,0,0,0
35053,371,1,63,9,4,NA,NA,1958,0,7,0,0,0,0,0,1,0,0,0
35086,1844,1,70,7,2,NA,NA,736,0,7,0,0,0,0,0,1,0,0,0
35093,7433,1,60,1,3,NA,NA,1783,0,3,0,1,0,0,0,0,0,0,0
35112,11374,1,30,28,3,NA,NA,2115,0,1,0,0,1,0,0,0,0,0,0
35245,2940,1,65,8,3,NA,NA,542,0,3,0,1,0,0,0,0,0,0,0
35260,3890,1,55,19,6,NA,NA,519,0,6,0,0,0,0,0,0,0,0,1
35364,5791,1,24,21,5,NA,NA,2684,0,7,0,0,0,0,0,1,0,0,0
35376,2898,1,60,24,2,NA,NA,1303,0,2,0,0,0,0,0,0,1,0,0
35384,3169,1,29,10,7,NA,NA,2687,1,4,0,0,0,0,0,0,0,1,0
35385,1580,1,22,23,4,NA,NA,1496,0,5,0,0,0,0,1,0,0,0,0
35431,3491,1,70,3,5,NA,NA,1454,0,7,0,0,0,0,0,1,0,0,0
35436,6323,1,28,12,5,NA,NA,2025,0,8,0,0,0,1,0,0,0,0,0
35437,4486,1,40,26,6,NA,NA,3759,0,3,0,1,0,0,0,0,0,0,0
35466,7258,1,52,30,6,NA,NA,1383,0,5,0,0,0,0,1,0,0,0,0
35469,2411,1,33,10,5,NA,NA,1332,0,2,0,0,0,0,0,0,1,0,0
35516,158,1,40,6,3,NA,NA,1709,0,1,0,0,1,0,0,0,0,0,0
35528,10386,1,73,19,6,NA,NA,1496,0,3,0,1,0,0,0,0,0,0,0
35629,2549,1,60,9,4,NA,NA,2096,0,7,0,0,0,0,0,1,0,0,0
35636,772,1,47,10,2,NA,NA,1203,0,8,0,0,0,1,0,0,0,0,0
35641,4484,1,28,13,5,NA,NA,2741,0,1,0,0,1,0,0,0,0,0,0
35804,9978,1,58,23,3,NA,NA,1755,0,3,0,1,0,0,0,0,0,0,0
35830,2205,1,25,12,5,NA,NA,1743,0,8,0,0,0,1,0,0,0,0,0
35883,2221,1,60,18,6,NA,NA,1146,0,5,0,0,0,0,1,0,0,0,0
35981,2398,1,30,31,3,NA,NA,2132,0,7,0,0,0,0,0,1,0,0,0
36001,6329,1,22,9,4,NA,NA,2207,0,7,0,0,0,0,0,1,0,0,0
36070,8829,1,43,7,4,NA,NA,1976,0,9,1,0,0,0,0,0,0,0,0
36222,6407,1,58,18,7,NA,NA,1800,1,8,0,0,0,1,0,0,0,0,0
36270,933,1,45,10,5,NA,NA,2917,0,6,0,0,0,0,0,0,0,0,1
36274,930,1,25,6,3,NA,NA,1293,0,4,0,0,0,0,0,0,0,1,0
36303,7022,1,60,27,3,NA,NA,2492,0,2,0,0,0,0,0,0,1,0,0
36306,4796,1,59,10,7,NA,NA,1066,1,1,0,0,1,0,0,0,0,0,0
36343,3304,1,60,2,3,NA,NA,2276,0,4,0,0,0,0,0,0,0,1,0
36362,7433,1,35,1,3,NA,NA,2288,0,3,0,1,0,0,0,0,0,0,0
36380,1337,1,48,3,3,NA,NA,2366,0,8,0,0,0,1,0,0,0,0,0
36385,8530,1,52,16,5,NA,NA,1800,0,8,0,0,0,1,0,0,0,0,0
36405,2396,1,19,31,3,NA,NA,2375,0,7,0,0,0,0,0,1,0,0,0
36409,10934,1,40,11,6,NA,NA,2206,0,3,0,1,0,0,0,0,0,0,0
36417,11456,1,23,31,3,NA,NA,1230,0,7,0,0,0,0,0,1,0,0,0
36441,7090,1,31,8,5,NA,NA,2471,0,1,0,0,1,0,0,0,0,0,0
36478,238,1,25,12,2,NA,NA,2428,0,4,0,0,0,0,0,0,0,1,0
36524,449,1,40,14,2,NA,NA,1863,0,9,1,0,0,0,0,0,0,0,0
36538,4550,1,51,29,3,NA,NA,768,0,6,0,0,0,0,0,0,0,0,1
36571,6849,1,68,5,5,NA,NA,1551,0,8,0,0,0,1,0,0,0,0,0
36600,2562,1,60,23,7,NA,NA,2627,1,7,0,0,0,0,0,1,0,0,0
36715,9487,1,18,28,5,NA,NA,1857,0,4,0,0,0,0,0,0,0,1,0
36722,1587,1,65,26,4,NA,NA,2571,0,4,0,0,0,0,0,0,0,1,0
36798,3185,1,42,20,2,NA,NA,2804,0,8,0,0,0,1,0,0,0,0,0
36806,4287,1,53,4,5,NA,NA,2172,0,4,0,0,0,0,0,0,0,1,0
36864,375,1,65,18,7,NA,NA,1372,1,8,0,0,0,1,0,0,0,0,0
36866,764,1,47,27,5,NA,NA,1752,0,3,0,1,0,0,0,0,0,0,0
36927,7846,1,36,14,2,NA,NA,1305,0,9,1,0,0,0,0,0,0,0,0
36947,7096,1,52,23,4,NA,NA,1212,0,6,0,0,0,0,0,0,0,0,1
36953,4402,1,23,22,4,NA,NA,2234,0,8,0,0,0,1,0,0,0,0,0
36967,5991,1,40,4,6,NA,NA,1400,0,3,0,1,0,0,0,0,0,0,0
36980,5996,1,55,22,5,NA,NA,1923,0,4,0,0,0,0,0,0,0,1,0
37000,11331,1,56,24,7,NA,NA,1401,1,5,0,0,0,0,1,0,0,0,0
37021,6839,1,35,29,5,NA,NA,1290,0,7,0,0,0,0,0,1,0,0,0
37048,11622,1,37,7,7,NA,NA,2713,1,8,0,0,0,1,0,0,0,0,0
37066,10140,1,27,18,5,NA,NA,631,0,6,0,0,0,0,0,0,0,0,1
37185,11837,1,35,20,7,NA,NA,1550,1,3,0,1,0,0,0,0,0,0,0
37238,10051,1,42,11,4,NA,NA,1859,0,8,0,0,0,1,0,0,0,0,0
37260,6378,1,46,6,1,NA,NA,449,1,7,0,0,0,0,0,1,0,0,0
37387,11335,1,48,19,3,NA,NA,4854,0,9,1,0,0,0,0,0,0,0,0
